trace_number,sia_indicator,sia_endogeneous,sia_immobile,sia_excited,fast_indicator_tc_mean,fast_indicator_tc_std,slow_indicator_tc_mean,slow_indicator_tc_std,fast_indicator_error_mean,slow_indicator_error_mean,fast_endogeneous_tc_mean,fast_endogeneous_tc_std,slow_endogeneous_tc_mean,slow_endogeneous_tc_std,fast_endogeneous_error_mean,slow_endogeneous_error_mean,fast_immobile_tc_mean,fast_immobile_tc_std,slow_immobile_tc_mean,slow_immobile_tc_std,fast_immobile_error_mean,slow_immobile_error_mean,excited_growth_tc_mean,excited_growth_tc_std,excited_decay_tc_mean,excited_growth_tc_std,excited_growth_error_mean,excited_decay_error_mean
0,670577.0060410816,1386.0030550612905,51409.968504604556,424316.08394552005,1.2786009143460997,0.0037456252655417156,0.002826113769720987,1.0142599965173105e-5,0.01242885011207992,8.88231073048028e-5,1.2771704164278477,0.0037525987656276284,0.0028233628812585182,1.0193986177317184e-5,0.012441846405662677,8.876812520483446e-5,1.2771453593389523,0.0037523840668413654,0.002815463343971662,1.0192992942098955e-5,0.012440056797168357,8.875707461749643e-5,0.0037613950985786342,0.004752552709369381,1.0106734573333707e-5,0.004752552709369381,3.2499302621990005e-6,3.0709222782726264e-8
1,688159.1819308542,1423.733322023682,52808.796021336246,364966.2754703956,1.8003860931258473,0.0023237528945442643,0.0015169087754291423,0.00011992888013897034,0.011689491391868673,0.00014570830306246223,1.7977642642437934,0.0023295038302464394,0.0004463340284431484,0.0001213647805347772,0.011782848602013545,0.0001858463000551029,1.79784227968479,0.0023292357139510327,0.0005312337303142376,0.00012129532387624335,0.011776860915086399,0.00018436517542784424,0.0011740514227421457,1.5106860051684738,0.0015087472371277727,1.5106860051684738,0.00023497002650588978,0.00033124578893343283
2,688766.0152140986,1424.5859372825375,52843.04614562054,383134.4010883188,2.05340028782306,0.0028483802660449527,0.006108573217825819,0.00011134232499144961,0.020358919880287,0.0009886274178294888,1.6402536434420711,0.0026327621584961015,0.9139418043040803,0.0003940013721156268,0.016033384333727526,0.008891565178349606,2.050162198401286,0.002854440793363052,0.005756977780934835,0.00011250549344994002,0.020438980533269573,0.001019182845244844,0.0022248393209247535,1.1820161545858419,0.0012984927250263463,1.1820161545858419,4.489295141969408e-5,9.754332115753938e-5
3,668204.086490853,1381.2993940956212,51245.13940884813,455872.1904685125,1.7418737522124612,0.003950443450721108,0.001802248551492899,5.501490814136021e-5,0.018177463935703006,0.000305030869862211,1.7401521919110907,0.003957985213461043,0.001927550078886932,5.533323564186853e-5,0.01819536865214095,0.0003059386440880064,1.740158853019441,0.003957789672582607,0.0019562131613718014,5.532118013400345e-5,0.018191636239518857,0.00030568364023567324,0.003949451792454028,70152.33720207532,3.273327061459132e-5,70152.33720207532,1.8326842976916623e-6,2.5918069893437596e-6
4,685387.8442370954,1417.18187749453,52573.85345793147,358583.22801157174,1.4145650608688687,0.0036293384821256985,0.016208542775312876,0.00013215305567023018,0.021205200772604422,0.0006118823439136642,1.4114050490988577,0.0036365243235186146,0.016856537284483393,0.00013307144915336138,0.02121341351958296,0.00061085109275639,1.4115592288181293,0.0036362082845869657,0.016785854623861098,0.0001330261017292933,0.021211218864814585,0.0006114953062232196,0.0036387984948938867,0.007703295363165616,0.00013180773220796563,0.007703295363165616,2.6596176984371926e-6,7.491439231200865e-8
5,671138.204249779,1387.435233792764,51466.54670352783,480043.2849637815,1.5255771799016438,0.0034672519465022964,0.005677832555517184,7.896633332564665e-5,0.010078315068603474,0.00021348736061864673,1.5243280619707136,0.0034741108039748644,0.005850393982505128,7.952150208410571e-5,0.010103481981994653,0.00021738190490189335,1.524265700245666,0.0034739393452285832,0.005850879658913335,7.95037032055644e-5,0.010101237380750056,0.00021727786003288357,0.0005455966703795164,1.4405580458983747,0.0040684137636931355,1.4405580458983747,9.39761159550474e-5,0.00012943784439575215
6,693697.6914306276,1434.6928463613217,53208.26354753392,558889.9370454559,1.093623097788742,0.0036442348183283874,NaN,NaN,0.005313276748783439,NaN,1.0926916709209726,0.0036522425970348074,NaN,NaN,0.005330055270019232,NaN,1.092626109579182,0.003652070917508192,NaN,NaN,0.005329226985700735,NaN,-0.0031520849138163515,NaN,NaN,NaN,0.00022681372461091313,NaN
7,943739.3376774845,1957.917317482385,72620.99973753412,423958.221323836,0.004058703517785019,0.0015833295783302895,NaN,NaN,6.9870510095376e-5,NaN,1.5717800063380736,0.00288258731382642,NaN,NaN,0.022821474409369297,NaN,1.5726177134293642,0.0028819877541623098,NaN,NaN,0.02281243337640163,NaN,-0.0011347881209912178,NaN,NaN,NaN,0.00033158535720395654,NaN
8,706660.4437143409,1464.118637682574,54302.16931649063,392207.2340846491,2.2824572145802806,0.002055082902802037,NaN,NaN,0.011651510237597551,NaN,2.2784382190622585,0.0020617232336715254,NaN,NaN,0.011840999258979103,NaN,2.278509974062839,0.002061414472533394,NaN,NaN,0.011830127341166636,NaN,-0.00042159095320688203,NaN,NaN,NaN,0.0006717661982017224,NaN
9,674158.6517211654,1393.66218600247,51689.508661273714,283548.5658249721,1.0246551611503592,0.003267370181988519,0.0046860495781313165,4.136328354271026e-5,0.0151821163302178,0.00011089423092496983,1.0217178021172713,0.0032736158651926624,0.004863624840814318,4.1675463504183944e-5,0.015182908342267366,0.00011036980581803659,1.0218406781290854,0.003273281600420912,0.004883197104987572,4.165181053213758e-5,0.015182029379896234,0.00011015969828096105,0.0032761173624692944,0.0030450033584468353,4.1299401728676785e-5,0.0030450033584468353,2.0612962801305927e-6,5.363417124760178e-8
